"","dead","dosages"
"1",1,1.6907
"2",1,1.6907
"3",1,1.6907
"4",1,1.6907
"5",1,1.6907
"6",1,1.6907
"7",0,1.6907
"8",0,1.6907
"9",0,1.6907
"10",0,1.6907
"11",0,1.6907
"12",0,1.6907
"13",0,1.6907
"14",0,1.6907
"15",0,1.6907
"16",0,1.6907
"17",0,1.6907
"18",0,1.6907
"19",0,1.6907
"20",0,1.6907
"21",0,1.6907
"22",0,1.6907
"23",0,1.6907
"24",0,1.6907
"25",0,1.6907
"26",0,1.6907
"27",0,1.6907
"28",0,1.6907
"29",0,1.6907
"30",0,1.6907
"31",0,1.6907
"32",0,1.6907
"33",0,1.6907
"34",0,1.6907
"35",0,1.6907
"36",0,1.6907
"37",0,1.6907
"38",0,1.6907
"39",0,1.6907
"40",0,1.6907
"41",0,1.6907
"42",0,1.6907
"43",0,1.6907
"44",0,1.6907
"45",0,1.6907
"46",0,1.6907
"47",0,1.6907
"48",0,1.6907
"49",0,1.6907
"50",0,1.6907
"51",0,1.6907
"52",0,1.6907
"53",0,1.6907
"54",0,1.6907
"55",0,1.6907
"56",0,1.6907
"57",0,1.6907
"58",0,1.6907
"59",0,1.6907
"60",1,1.7242
"61",1,1.7242
"62",1,1.7242
"63",1,1.7242
"64",1,1.7242
"65",1,1.7242
"66",1,1.7242
"67",1,1.7242
"68",1,1.7242
"69",1,1.7242
"70",1,1.7242
"71",1,1.7242
"72",1,1.7242
"73",0,1.7242
"74",0,1.7242
"75",0,1.7242
"76",0,1.7242
"77",0,1.7242
"78",0,1.7242
"79",0,1.7242
"80",0,1.7242
"81",0,1.7242
"82",0,1.7242
"83",0,1.7242
"84",0,1.7242
"85",0,1.7242
"86",0,1.7242
"87",0,1.7242
"88",0,1.7242
"89",0,1.7242
"90",0,1.7242
"91",0,1.7242
"92",0,1.7242
"93",0,1.7242
"94",0,1.7242
"95",0,1.7242
"96",0,1.7242
"97",0,1.7242
"98",0,1.7242
"99",0,1.7242
"100",0,1.7242
"101",0,1.7242
"102",0,1.7242
"103",0,1.7242
"104",0,1.7242
"105",0,1.7242
"106",0,1.7242
"107",0,1.7242
"108",0,1.7242
"109",0,1.7242
"110",0,1.7242
"111",0,1.7242
"112",0,1.7242
"113",0,1.7242
"114",0,1.7242
"115",0,1.7242
"116",0,1.7242
"117",0,1.7242
"118",0,1.7242
"119",0,1.7242
"120",1,1.7552
"121",1,1.7552
"122",1,1.7552
"123",1,1.7552
"124",1,1.7552
"125",1,1.7552
"126",1,1.7552
"127",1,1.7552
"128",1,1.7552
"129",1,1.7552
"130",1,1.7552
"131",1,1.7552
"132",1,1.7552
"133",1,1.7552
"134",1,1.7552
"135",1,1.7552
"136",1,1.7552
"137",1,1.7552
"138",0,1.7552
"139",0,1.7552
"140",0,1.7552
"141",0,1.7552
"142",0,1.7552
"143",0,1.7552
"144",0,1.7552
"145",0,1.7552
"146",0,1.7552
"147",0,1.7552
"148",0,1.7552
"149",0,1.7552
"150",0,1.7552
"151",0,1.7552
"152",0,1.7552
"153",0,1.7552
"154",0,1.7552
"155",0,1.7552
"156",0,1.7552
"157",0,1.7552
"158",0,1.7552
"159",0,1.7552
"160",0,1.7552
"161",0,1.7552
"162",0,1.7552
"163",0,1.7552
"164",0,1.7552
"165",0,1.7552
"166",0,1.7552
"167",0,1.7552
"168",0,1.7552
"169",0,1.7552
"170",0,1.7552
"171",0,1.7552
"172",0,1.7552
"173",0,1.7552
"174",0,1.7552
"175",0,1.7552
"176",0,1.7552
"177",0,1.7552
"178",0,1.7552
"179",0,1.7552
"180",0,1.7552
"181",0,1.7552
"182",1,1.7842
"183",1,1.7842
"184",1,1.7842
"185",1,1.7842
"186",1,1.7842
"187",1,1.7842
"188",1,1.7842
"189",1,1.7842
"190",1,1.7842
"191",1,1.7842
"192",1,1.7842
"193",1,1.7842
"194",1,1.7842
"195",1,1.7842
"196",1,1.7842
"197",1,1.7842
"198",1,1.7842
"199",1,1.7842
"200",1,1.7842
"201",1,1.7842
"202",1,1.7842
"203",1,1.7842
"204",1,1.7842
"205",1,1.7842
"206",1,1.7842
"207",1,1.7842
"208",1,1.7842
"209",1,1.7842
"210",0,1.7842
"211",0,1.7842
"212",0,1.7842
"213",0,1.7842
"214",0,1.7842
"215",0,1.7842
"216",0,1.7842
"217",0,1.7842
"218",0,1.7842
"219",0,1.7842
"220",0,1.7842
"221",0,1.7842
"222",0,1.7842
"223",0,1.7842
"224",0,1.7842
"225",0,1.7842
"226",0,1.7842
"227",0,1.7842
"228",0,1.7842
"229",0,1.7842
"230",0,1.7842
"231",0,1.7842
"232",0,1.7842
"233",0,1.7842
"234",0,1.7842
"235",0,1.7842
"236",0,1.7842
"237",0,1.7842
"238",1,1.8113
"239",1,1.8113
"240",1,1.8113
"241",1,1.8113
"242",1,1.8113
"243",1,1.8113
"244",1,1.8113
"245",1,1.8113
"246",1,1.8113
"247",1,1.8113
"248",1,1.8113
"249",1,1.8113
"250",1,1.8113
"251",1,1.8113
"252",1,1.8113
"253",1,1.8113
"254",1,1.8113
"255",1,1.8113
"256",1,1.8113
"257",1,1.8113
"258",1,1.8113
"259",1,1.8113
"260",1,1.8113
"261",1,1.8113
"262",1,1.8113
"263",1,1.8113
"264",1,1.8113
"265",1,1.8113
"266",1,1.8113
"267",1,1.8113
"268",1,1.8113
"269",1,1.8113
"270",1,1.8113
"271",1,1.8113
"272",1,1.8113
"273",1,1.8113
"274",1,1.8113
"275",1,1.8113
"276",1,1.8113
"277",1,1.8113
"278",1,1.8113
"279",1,1.8113
"280",1,1.8113
"281",1,1.8113
"282",1,1.8113
"283",1,1.8113
"284",1,1.8113
"285",1,1.8113
"286",1,1.8113
"287",1,1.8113
"288",1,1.8113
"289",1,1.8113
"290",0,1.8113
"291",0,1.8113
"292",0,1.8113
"293",0,1.8113
"294",0,1.8113
"295",0,1.8113
"296",0,1.8113
"297",0,1.8113
"298",0,1.8113
"299",0,1.8113
"300",0,1.8113
"301",1,1.8369
"302",1,1.8369
"303",1,1.8369
"304",1,1.8369
"305",1,1.8369
"306",1,1.8369
"307",1,1.8369
"308",1,1.8369
"309",1,1.8369
"310",1,1.8369
"311",1,1.8369
"312",1,1.8369
"313",1,1.8369
"314",1,1.8369
"315",1,1.8369
"316",1,1.8369
"317",1,1.8369
"318",1,1.8369
"319",1,1.8369
"320",1,1.8369
"321",1,1.8369
"322",1,1.8369
"323",1,1.8369
"324",1,1.8369
"325",1,1.8369
"326",1,1.8369
"327",1,1.8369
"328",1,1.8369
"329",1,1.8369
"330",1,1.8369
"331",1,1.8369
"332",1,1.8369
"333",1,1.8369
"334",1,1.8369
"335",1,1.8369
"336",1,1.8369
"337",1,1.8369
"338",1,1.8369
"339",1,1.8369
"340",1,1.8369
"341",1,1.8369
"342",1,1.8369
"343",1,1.8369
"344",1,1.8369
"345",1,1.8369
"346",1,1.8369
"347",1,1.8369
"348",1,1.8369
"349",1,1.8369
"350",1,1.8369
"351",1,1.8369
"352",1,1.8369
"353",1,1.8369
"354",0,1.8369
"355",0,1.8369
"356",0,1.8369
"357",0,1.8369
"358",0,1.8369
"359",0,1.8369
"360",1,1.861
"361",1,1.861
"362",1,1.861
"363",1,1.861
"364",1,1.861
"365",1,1.861
"366",1,1.861
"367",1,1.861
"368",1,1.861
"369",1,1.861
"370",1,1.861
"371",1,1.861
"372",1,1.861
"373",1,1.861
"374",1,1.861
"375",1,1.861
"376",1,1.861
"377",1,1.861
"378",1,1.861
"379",1,1.861
"380",1,1.861
"381",1,1.861
"382",1,1.861
"383",1,1.861
"384",1,1.861
"385",1,1.861
"386",1,1.861
"387",1,1.861
"388",1,1.861
"389",1,1.861
"390",1,1.861
"391",1,1.861
"392",1,1.861
"393",1,1.861
"394",1,1.861
"395",1,1.861
"396",1,1.861
"397",1,1.861
"398",1,1.861
"399",1,1.861
"400",1,1.861
"401",1,1.861
"402",1,1.861
"403",1,1.861
"404",1,1.861
"405",1,1.861
"406",1,1.861
"407",1,1.861
"408",1,1.861
"409",1,1.861
"410",1,1.861
"411",1,1.861
"412",1,1.861
"413",1,1.861
"414",1,1.861
"415",1,1.861
"416",1,1.861
"417",1,1.861
"418",1,1.861
"419",1,1.861
"420",1,1.861
"421",0,1.861
"422",1,1.8839
"423",1,1.8839
"424",1,1.8839
"425",1,1.8839
"426",1,1.8839
"427",1,1.8839
"428",1,1.8839
"429",1,1.8839
"430",1,1.8839
"431",1,1.8839
"432",1,1.8839
"433",1,1.8839
"434",1,1.8839
"435",1,1.8839
"436",1,1.8839
"437",1,1.8839
"438",1,1.8839
"439",1,1.8839
"440",1,1.8839
"441",1,1.8839
"442",1,1.8839
"443",1,1.8839
"444",1,1.8839
"445",1,1.8839
"446",1,1.8839
"447",1,1.8839
"448",1,1.8839
"449",1,1.8839
"450",1,1.8839
"451",1,1.8839
"452",1,1.8839
"453",1,1.8839
"454",1,1.8839
"455",1,1.8839
"456",1,1.8839
"457",1,1.8839
"458",1,1.8839
"459",1,1.8839
"460",1,1.8839
"461",1,1.8839
"462",1,1.8839
"463",1,1.8839
"464",1,1.8839
"465",1,1.8839
"466",1,1.8839
"467",1,1.8839
"468",1,1.8839
"469",1,1.8839
"470",1,1.8839
"471",1,1.8839
"472",1,1.8839
"473",1,1.8839
"474",1,1.8839
"475",1,1.8839
"476",1,1.8839
"477",1,1.8839
"478",1,1.8839
"479",1,1.8839
"480",1,1.8839
"481",1,1.8839
